pair,listener,crit_half,crit_order_bin,condition,prop_target_fix,prop_compet_fix,num_trials,numtNA,numcNA
15,29,secondhalf,3,One Contrast,0.75,0.25,4,0,0
15,29,secondhalf,4,Two Contrasts Shared,0.5,0.25,8,0,0
15,29,secondhalf,4,Two Contrasts Privileged,1,0.25,4,0,0
15,29,secondhalf,4,One Contrast,0.75,0.25,4,0,0
15,30,firsthalf,1,Two Contrasts Shared,1,0.3333333333333333,6,0,0
15,30,firsthalf,1,Two Contrasts Privileged,1,0,3,0,0
15,30,firsthalf,1,One Contrast,0.6666666666666666,0.6666666666666666,3,0,0
15,30,firsthalf,2,Two Contrasts Shared,0.8333333333333334,0.8333333333333334,6,0,0
15,30,firsthalf,2,Two Contrasts Privileged,1,0.75,4,0,0
15,30,firsthalf,2,One Contrast,1,0.5,4,0,0
15,30,secondhalf,3,Two Contrasts Shared,1,0.5714285714285714,7,0,0
15,30,secondhalf,3,Two Contrasts Privileged,0.75,1,4,0,0
15,30,secondhalf,3,One Contrast,1,0.25,4,0,0
15,30,secondhalf,4,Two Contrasts Shared,0.7142857142857143,0.42857142857142855,7,0,0
15,30,secondhalf,4,Two Contrasts Privileged,0.25,0.25,4,0,0
15,30,secondhalf,4,One Contrast,0.75,0.25,4,0,0
16,31,firsthalf,1,Two Contrasts Shared,0.8571428571428571,0.7142857142857143,7,0,0
16,31,firsthalf,1,Two Contrasts Privileged,0.5,1,2,0,0
16,31,firsthalf,1,One Contrast,0.5,0,2,0,0
16,31,firsthalf,2,Two Contrasts Shared,1,0.5714285714285714,7,0,0
16,31,firsthalf,2,Two Contrasts Privileged,0.5,0.5,2,0,0
16,31,firsthalf,2,One Contrast,0.6666666666666666,1,3,0,0
16,31,secondhalf,3,Two Contrasts Shared,0.875,0.125,8,0,0
16,31,secondhalf,3,Two Contrasts Privileged,1,0.5,2,0,0
16,31,secondhalf,3,One Contrast,1,0,3,0,0
16,31,secondhalf,4,Two Contrasts Shared,1,0.625,8,0,0
16,31,secondhalf,4,Two Contrasts Privileged,1,0.3333333333333333,3,0,0
16,31,secondhalf,4,One Contrast,1,0.3333333333333333,3,0,0
16,32,firsthalf,1,Two Contrasts Shared,0.8571428571428571,0.42857142857142855,7,0,0
16,32,firsthalf,1,Two Contrasts Privileged,0.6666666666666666,0.3333333333333333,3,0,0
16,32,firsthalf,1,One Contrast,1,0,3,0,0
16,32,firsthalf,2,Two Contrasts Shared,0.7142857142857143,0.7142857142857143,7,0,0
16,32,firsthalf,2,Two Contrasts Privileged,0.5,0.25,4,0,0
16,32,firsthalf,2,One Contrast,0.75,0.5,4,0,0
16,32,secondhalf,3,Two Contrasts Shared,0.875,0.375,8,0,0
16,32,secondhalf,3,Two Contrasts Privileged,1,0.75,4,0,0
16,32,secondhalf,3,One Contrast,0.25,0.75,4,0,0
16,32,secondhalf,4,Two Contrasts Shared,0.75,0.5,8,0,0
16,32,secondhalf,4,Two Contrasts Privileged,0.6,0.4,5,0,0
16,32,secondhalf,4,One Contrast,1,0,5,0,0
18,35,firsthalf,1,Two Contrasts Shared,0.5714285714285714,0.7142857142857143,7,0,0
18,35,firsthalf,1,Two Contrasts Privileged,0.6666666666666666,0.3333333333333333,3,0,0
18,35,firsthalf,1,One Contrast,0.6666666666666666,0.3333333333333333,3,0,0
18,35,firsthalf,2,Two Contrasts Shared,0.42857142857142855,0.5714285714285714,7,0,0
18,35,firsthalf,2,Two Contrasts Privileged,1,1,4,0,0
18,35,firsthalf,2,One Contrast,1,0.6666666666666666,3,0,0
18,35,secondhalf,3,Two Contrasts Shared,0.5714285714285714,0.5714285714285714,7,0,0
18,35,secondhalf,3,Two Contrasts Privileged,1,0.25,4,0,0
18,35,secondhalf,3,One Contrast,0.75,0.75,4,0,0
18,35,secondhalf,4,Two Contrasts Shared,0.875,0.375,8,0,0
18,35,secondhalf,4,Two Contrasts Privileged,1,0.4,5,0,0
18,35,secondhalf,4,One Contrast,1,0.5,4,0,0
