pair,listener,crit_half,condition,prop_target_fix,prop_compet_fix,num_trials,numtNA,numcNA
23,46,firsthalf,Two Contrasts Privileged,1,0.2857142857142857,7,0,0
23,46,firsthalf,One Contrast,0.8571428571428571,0.2857142857142857,7,0,0
23,46,secondhalf,Two Contrasts Shared,0.75,0.625,16,0,0
23,46,secondhalf,Two Contrasts Privileged,0.75,0.5,8,0,0
23,46,secondhalf,One Contrast,0.75,0,8,0,0
24,47,firsthalf,Two Contrasts Shared,0.75,0.3333333333333333,12,0,0
24,47,firsthalf,Two Contrasts Privileged,0.8333333333333334,0.5,6,0,0
24,47,firsthalf,One Contrast,0.8,0,5,0,0
24,47,secondhalf,Two Contrasts Shared,0.7142857142857143,0.2857142857142857,14,0,0
24,47,secondhalf,Two Contrasts Privileged,0.7142857142857143,0.5714285714285714,7,0,0
24,47,secondhalf,One Contrast,0.8333333333333334,0.3333333333333333,6,0,0
24,48,firsthalf,Two Contrasts Shared,0.2727272727272727,0.36363636363636365,11,0,0
24,48,firsthalf,Two Contrasts Privileged,0,0.4,5,0,0
24,48,firsthalf,One Contrast,0,0.2,5,0,0
24,48,secondhalf,Two Contrasts Shared,0.4166666666666667,0.25,12,0,0
24,48,secondhalf,Two Contrasts Privileged,0.42857142857142855,0.2857142857142857,7,0,0
24,48,secondhalf,One Contrast,0,0.2857142857142857,7,0,0
25,49,firsthalf,Two Contrasts Shared,0.8461538461538461,0.38461538461538464,13,0,0
25,49,firsthalf,Two Contrasts Privileged,0.5,0.5,6,0,0
25,49,firsthalf,One Contrast,0.8333333333333334,0.16666666666666666,6,0,0
25,49,secondhalf,Two Contrasts Shared,0.8571428571428571,0.35714285714285715,14,0,0
25,49,secondhalf,Two Contrasts Privileged,0.875,0.125,8,0,0
25,49,secondhalf,One Contrast,0.875,0.25,8,0,0
25,50,firsthalf,Two Contrasts Shared,1,0.5384615384615384,13,0,0
25,50,firsthalf,Two Contrasts Privileged,0.6,0.4,5,0,0
25,50,firsthalf,One Contrast,0.6666666666666666,0,6,0,0
25,50,secondhalf,Two Contrasts Shared,0.8,0.5333333333333333,15,0,0
25,50,secondhalf,Two Contrasts Privileged,0.6666666666666666,0.3333333333333333,6,0,0
25,50,secondhalf,One Contrast,1,0.2857142857142857,7,0,0
27,53,firsthalf,Two Contrasts Shared,0.6428571428571429,0.42857142857142855,14,0,0
27,53,firsthalf,Two Contrasts Privileged,1,0.5,6,0,0
27,53,firsthalf,One Contrast,0.6666666666666666,0.3333333333333333,6,0,0
27,53,secondhalf,Two Contrasts Shared,0.5333333333333333,0.4666666666666667,15,0,0
27,53,secondhalf,Two Contrasts Privileged,1,0.42857142857142855,7,0,0
27,53,secondhalf,One Contrast,0.5714285714285714,0.2857142857142857,7,0,0
27,54,firsthalf,Two Contrasts Shared,0.9230769230769231,0.5384615384615384,13,0,0
27,54,firsthalf,Two Contrasts Privileged,1,0.3333333333333333,6,0,0
27,54,firsthalf,One Contrast,0.8333333333333334,0.3333333333333333,6,0,0
27,54,secondhalf,Two Contrasts Shared,0.8,0.3333333333333333,15,0,0
27,54,secondhalf,Two Contrasts Privileged,1,0.42857142857142855,7,0,0
27,54,secondhalf,One Contrast,0.5714285714285714,0.7142857142857143,7,0,0
28,55,firsthalf,Two Contrasts Shared,0.6923076923076923,0.46153846153846156,13,0,0
28,55,firsthalf,Two Contrasts Privileged,0.7142857142857143,0.42857142857142855,7,0,0
28,55,firsthalf,One Contrast,0.6666666666666666,0.5,6,0,0
28,55,secondhalf,Two Contrasts Shared,0.8666666666666667,0.6666666666666666,15,0,0
28,55,secondhalf,Two Contrasts Privileged,0.7777777777777778,0.6666666666666666,9,0,0
28,55,secondhalf,One Contrast,0.625,0.375,8,0,0
28,56,firsthalf,Two Contrasts Shared,1,0.42857142857142855,14,0,0
28,56,firsthalf,Two Contrasts Privileged,1,0.2857142857142857,7,0,0
28,56,firsthalf,One Contrast,0.8571428571428571,0.42857142857142855,7,0,0
28,56,secondhalf,Two Contrasts Shared,0.75,0.875,16,0,0
28,56,secondhalf,Two Contrasts Privileged,0.875,0.625,8,0,0
28,56,secondhalf,One Contrast,1,0.625,8,0,0
30,59,firsthalf,Two Contrasts Shared,0.6923076923076923,0.5384615384615384,13,0,0
30,59,firsthalf,Two Contrasts Privileged,0.8571428571428571,0.7142857142857143,7,0,0
30,59,firsthalf,One Contrast,1,0.16666666666666666,6,0,0
30,59,secondhalf,Two Contrasts Shared,0.8571428571428571,0.2857142857142857,14,0,0
30,59,secondhalf,Two Contrasts Privileged,0.8888888888888888,0.4444444444444444,9,0,0
30,59,secondhalf,One Contrast,1,0.125,8,0,0
30,60,firsthalf,Two Contrasts Shared,0.6666666666666666,0.9166666666666666,12,0,0
30,60,firsthalf,Two Contrasts Privileged,0.75,0.5,4,0,0
30,60,firsthalf,One Contrast,0.8333333333333334,0.3333333333333333,6,0,0
30,60,secondhalf,Two Contrasts Shared,0.7692307692307693,0.3076923076923077,13,0,0
30,60,secondhalf,Two Contrasts Privileged,0.8333333333333334,0.5,6,0,0
