pair,speaker,condition,prop_size_adj_use,num_trials,num_NA
74,148,No Contrast,0,16,0
74,148,One Contrast Privileged,1,16,0
74,148,Two Contrasts Shared,1,32,0
74,149,No Contrast,0,16,0
74,149,One Contrast Privileged,0.25,16,0
74,149,Two Contrasts Shared,1,32,0
75,150,No Contrast,0.5,16,0
75,150,One Contrast Privileged,1,16,0
75,150,Two Contrasts Shared,0.9375,32,0
75,151,No Contrast,0.375,16,0
75,151,One Contrast Privileged,1,16,0
75,151,Two Contrasts Shared,1,32,0
76,152,No Contrast,0.0625,16,0
76,152,One Contrast Privileged,0.875,16,0
76,152,Two Contrasts Shared,1,32,0
76,153,No Contrast,0.125,16,0
76,153,One Contrast Privileged,0.25,16,0
76,153,Two Contrasts Shared,1,32,1
77,154,No Contrast,0,16,0
77,154,One Contrast Privileged,1,16,0
77,154,Two Contrasts Shared,1,32,0
77,155,No Contrast,0,16,0
77,155,One Contrast Privileged,0.5,16,0
77,155,Two Contrasts Shared,0.96875,32,0
78,156,No Contrast,0,16,1
78,156,One Contrast Privileged,1,16,0
78,156,Two Contrasts Shared,0.96875,32,0
78,157,No Contrast,0,16,1
78,157,One Contrast Privileged,0.9375,16,0
78,157,Two Contrasts Shared,1,32,0
79,158,No Contrast,0,16,0
79,158,One Contrast Privileged,0.6875,16,0
79,158,Two Contrasts Shared,0.96875,32,0
79,159,No Contrast,0,16,0
79,159,One Contrast Privileged,0.1875,16,0
79,159,Two Contrasts Shared,1,32,0
80,160,No Contrast,0,16,0
80,160,One Contrast Privileged,0.125,16,0
80,160,Two Contrasts Shared,1,32,0
80,161,No Contrast,0.0625,16,0
80,161,One Contrast Privileged,0.9375,16,0
80,161,Two Contrasts Shared,0.96875,32,0
81,162,No Contrast,0.0625,16,0
81,162,One Contrast Privileged,0.375,16,0
81,162,Two Contrasts Shared,1,32,0
81,163,No Contrast,0.0625,16,0
81,163,One Contrast Privileged,0.8125,16,0
81,163,Two Contrasts Shared,0.96875,32,0
83,166,No Contrast,0,16,0
83,166,One Contrast Privileged,1,16,0
83,166,Two Contrasts Shared,1,32,0
83,167,No Contrast,0,16,0
83,167,One Contrast Privileged,0.5625,16,0
83,167,Two Contrasts Shared,1,32,0
84,168,No Contrast,0,16,0
84,168,One Contrast Privileged,0.375,16,0
84,168,Two Contrasts Shared,1,32,0
84,169,No Contrast,0.0625,16,0
84,169,One Contrast Privileged,0.9375,16,0
84,169,Two Contrasts Shared,1,32,0
85,170,No Contrast,0.5625,16,0
85,170,One Contrast Privileged,0.875,16,0
85,170,Two Contrasts Shared,1,32,0
85,171,No Contrast,0.0625,16,0
85,171,One Contrast Privileged,0.9375,16,0
85,171,Two Contrasts Shared,0.9375,32,0
86,172,No Contrast,0,16,0
86,172,One Contrast Privileged,1,16,0
86,172,Two Contrasts Shared,0.96875,32,0
86,173,No Contrast,0,16,0
86,173,One Contrast Privileged,0.1875,16,0
86,173,Two Contrasts Shared,1,32,0
87,184,No Contrast,0,16,0
87,184,One Contrast Privileged,1,16,0
87,184,Two Contrasts Shared,1,32,0
87,185,No Contrast,0,16,0
87,185,One Contrast Privileged,0.1875,16,0
87,185,Two Contrasts Shared,0.9375,32,0
88,176,No Contrast,0.0625,16,0
88,176,One Contrast Privileged,0.25,16,0
88,176,Two Contrasts Shared,1,32,0
88,177,No Contrast,0,16,0
88,177,One Contrast Privileged,0.8125,16,0
88,177,Two Contrasts Shared,0.875,32,0
89,178,No Contrast,0,16,0
89,178,One Contrast Privileged,0.9375,16,0
89,178,Two Contrasts Shared,0.8709677419354839,32,1
89,179,No Contrast,0.0625,16,0
89,179,One Contrast Privileged,0.375,16,0
89,179,Two Contrasts Shared,1,32,0
90,180,No Contrast,0.0625,16,0
90,180,One Contrast Privileged,1,16,0
90,180,Two Contrasts Shared,0.96875,32,0
90,181,No Contrast,0.06666666666666667,16,1
90,181,One Contrast Privileged,1,16,0
90,181,Two Contrasts Shared,1,32,0
