pair,speaker,crit_half,crit_order_bin,condition,prop_size_adj_use,num_trials,num_NA
14,28,firsthalf,2,Two Contrasts Shared,1,8,0
14,28,secondhalf,3,No Contrast,0,4,0
14,28,secondhalf,3,One Contrast Privileged,0.5,4,0
14,28,secondhalf,3,Two Contrasts Shared,1,8,0
14,28,secondhalf,4,No Contrast,0,5,0
14,28,secondhalf,4,One Contrast Privileged,0.4,5,0
14,28,secondhalf,4,Two Contrasts Shared,1,9,0
15,29,firsthalf,1,No Contrast,0,3,0
15,29,firsthalf,1,One Contrast Privileged,0.3333333333333333,3,0
15,29,firsthalf,1,Two Contrasts Shared,0.8571428571428571,7,0
15,29,firsthalf,2,No Contrast,0,4,0
15,29,firsthalf,2,One Contrast Privileged,0,4,0
15,29,firsthalf,2,Two Contrasts Shared,1,8,0
15,29,secondhalf,3,No Contrast,0,4,0
15,29,secondhalf,3,One Contrast Privileged,0,4,0
15,29,secondhalf,3,Two Contrasts Shared,1,8,0
15,29,secondhalf,4,No Contrast,0,5,0
15,29,secondhalf,4,One Contrast Privileged,0.2,5,0
15,29,secondhalf,4,Two Contrasts Shared,0.8888888888888888,9,0
15,30,firsthalf,1,No Contrast,0,3,0
15,30,firsthalf,1,One Contrast Privileged,1,3,0
15,30,firsthalf,1,Two Contrasts Shared,1,7,0
15,30,firsthalf,2,No Contrast,0,4,0
15,30,firsthalf,2,One Contrast Privileged,0.75,4,0
15,30,firsthalf,2,Two Contrasts Shared,1,8,0
15,30,secondhalf,3,No Contrast,0,4,0
15,30,secondhalf,3,One Contrast Privileged,1,4,0
15,30,secondhalf,3,Two Contrasts Shared,1,8,0
15,30,secondhalf,4,No Contrast,0.2,5,0
15,30,secondhalf,4,One Contrast Privileged,1,5,0
15,30,secondhalf,4,Two Contrasts Shared,1,9,0
16,31,firsthalf,1,No Contrast,0.6666666666666666,3,0
16,31,firsthalf,1,One Contrast Privileged,1,3,0
16,31,firsthalf,1,Two Contrasts Shared,1,7,0
16,31,firsthalf,2,No Contrast,0,4,0
16,31,firsthalf,2,One Contrast Privileged,0.5,4,0
16,31,firsthalf,2,Two Contrasts Shared,1,8,0
16,31,secondhalf,3,No Contrast,0,4,0
16,31,secondhalf,3,One Contrast Privileged,0.5,4,0
16,31,secondhalf,3,Two Contrasts Shared,1,8,0
16,31,secondhalf,4,No Contrast,0,5,0
16,31,secondhalf,4,One Contrast Privileged,0,5,0
16,31,secondhalf,4,Two Contrasts Shared,1,9,0
16,32,firsthalf,1,No Contrast,0,3,0
16,32,firsthalf,1,One Contrast Privileged,1,3,0
16,32,firsthalf,1,Two Contrasts Shared,1,7,0
16,32,firsthalf,2,No Contrast,0,4,0
16,32,firsthalf,2,One Contrast Privileged,0.75,4,0
16,32,firsthalf,2,Two Contrasts Shared,1,8,0
16,32,secondhalf,3,No Contrast,0,4,0
16,32,secondhalf,3,One Contrast Privileged,0.25,4,0
16,32,secondhalf,3,Two Contrasts Shared,1,8,0
16,32,secondhalf,4,No Contrast,0,5,0
16,32,secondhalf,4,One Contrast Privileged,0.6,5,0
16,32,secondhalf,4,Two Contrasts Shared,1,9,0
18,35,firsthalf,1,No Contrast,0,3,0
18,35,firsthalf,1,One Contrast Privileged,0.6666666666666666,3,0
18,35,firsthalf,1,Two Contrasts Shared,1,7,0
18,35,firsthalf,2,No Contrast,0,4,0
18,35,firsthalf,2,One Contrast Privileged,0.75,4,0
18,35,firsthalf,2,Two Contrasts Shared,1,8,0
18,35,secondhalf,3,No Contrast,0,4,0
18,35,secondhalf,3,One Contrast Privileged,0.25,4,0
18,35,secondhalf,3,Two Contrasts Shared,1,8,0
18,35,secondhalf,4,No Contrast,0,5,0
18,35,secondhalf,4,One Contrast Privileged,0.2,5,0
18,35,secondhalf,4,Two Contrasts Shared,1,9,0
18,36,firsthalf,1,No Contrast,0,3,0
18,36,firsthalf,1,One Contrast Privileged,0,3,0
18,36,firsthalf,1,Two Contrasts Shared,1,7,1
