pair,speaker,crit_half,condition,prop_size_adj_use,num_trials,num_NA
39,78,secondhalf,One Contrast Privileged,1,9,0
39,78,secondhalf,Two Contrasts Shared,0.9411764705882353,17,0
39,79,firsthalf,No Contrast,0,7,0
39,79,firsthalf,One Contrast Privileged,0.7142857142857143,7,0
39,79,firsthalf,Two Contrasts Shared,1,15,0
39,79,secondhalf,No Contrast,0,9,0
39,79,secondhalf,One Contrast Privileged,0.4444444444444444,9,0
39,79,secondhalf,Two Contrasts Shared,1,17,0
41,82,firsthalf,No Contrast,0,7,0
41,82,firsthalf,One Contrast Privileged,0.8571428571428571,7,0
41,82,firsthalf,Two Contrasts Shared,1,15,0
41,82,secondhalf,No Contrast,0.1111111111111111,9,0
41,82,secondhalf,One Contrast Privileged,0.1111111111111111,9,0
41,82,secondhalf,Two Contrasts Shared,1,17,0
41,83,firsthalf,No Contrast,0,7,1
41,83,firsthalf,One Contrast Privileged,1,7,0
41,83,firsthalf,Two Contrasts Shared,1,15,1
41,83,secondhalf,No Contrast,0,9,0
41,83,secondhalf,One Contrast Privileged,1,9,0
41,83,secondhalf,Two Contrasts Shared,1,17,0
42,84,firsthalf,No Contrast,0,7,0
42,84,firsthalf,One Contrast Privileged,0.2857142857142857,7,0
42,84,firsthalf,Two Contrasts Shared,1,15,0
42,84,secondhalf,No Contrast,0,9,0
42,84,secondhalf,One Contrast Privileged,0.1111111111111111,9,0
42,84,secondhalf,Two Contrasts Shared,1,17,0
42,85,firsthalf,No Contrast,0,7,0
42,85,firsthalf,One Contrast Privileged,0.2857142857142857,7,0
42,85,firsthalf,Two Contrasts Shared,1,15,0
42,85,secondhalf,No Contrast,0,9,0
42,85,secondhalf,One Contrast Privileged,0.1111111111111111,9,0
42,85,secondhalf,Two Contrasts Shared,1,17,0
43,86,firsthalf,No Contrast,0,7,0
43,86,firsthalf,One Contrast Privileged,0.14285714285714285,7,0
43,86,firsthalf,Two Contrasts Shared,0.9333333333333333,15,0
43,86,secondhalf,No Contrast,0,9,0
43,86,secondhalf,One Contrast Privileged,0.2222222222222222,9,0
43,86,secondhalf,Two Contrasts Shared,1,17,0
43,87,firsthalf,No Contrast,0.14285714285714285,7,0
43,87,firsthalf,One Contrast Privileged,0.8571428571428571,7,0
43,87,firsthalf,Two Contrasts Shared,1,15,0
43,87,secondhalf,No Contrast,0,9,0
43,87,secondhalf,One Contrast Privileged,0.6666666666666666,9,0
43,87,secondhalf,Two Contrasts Shared,1,17,0
44,88,firsthalf,No Contrast,0,7,0
44,88,firsthalf,One Contrast Privileged,1,7,0
44,88,firsthalf,Two Contrasts Shared,0.9333333333333333,15,0
44,88,secondhalf,No Contrast,0,9,0
44,88,secondhalf,One Contrast Privileged,1,9,0
44,88,secondhalf,Two Contrasts Shared,0.9411764705882353,17,0
44,89,firsthalf,No Contrast,0,7,0
44,89,firsthalf,One Contrast Privileged,1,7,0
44,89,firsthalf,Two Contrasts Shared,1,15,0
44,89,secondhalf,No Contrast,0,9,0
44,89,secondhalf,One Contrast Privileged,1,9,0
44,89,secondhalf,Two Contrasts Shared,1,17,0
46,92,firsthalf,No Contrast,0.2857142857142857,7,0
46,92,firsthalf,One Contrast Privileged,1,7,0
46,92,firsthalf,Two Contrasts Shared,1,15,0
46,92,secondhalf,No Contrast,0.1111111111111111,9,0
46,92,secondhalf,One Contrast Privileged,1,9,0
46,92,secondhalf,Two Contrasts Shared,1,17,0
46,93,firsthalf,No Contrast,0,7,0
46,93,firsthalf,One Contrast Privileged,0.7142857142857143,7,0
46,93,firsthalf,Two Contrasts Shared,1,15,0
46,93,secondhalf,No Contrast,0,9,0
46,93,secondhalf,One Contrast Privileged,0.1111111111111111,9,0
46,93,secondhalf,Two Contrasts Shared,1,17,0
47,94,firsthalf,No Contrast,0,7,0
47,94,firsthalf,One Contrast Privileged,1,7,0
47,94,firsthalf,Two Contrasts Shared,1,15,0
47,94,secondhalf,No Contrast,0,9,1
47,94,secondhalf,One Contrast Privileged,1,9,0
47,94,secondhalf,Two Contrasts Shared,0.9411764705882353,17,0
47,95,firsthalf,No Contrast,0,7,0
47,95,firsthalf,One Contrast Privileged,1,7,0
47,95,firsthalf,Two Contrasts Shared,1,15,0
47,95,secondhalf,No Contrast,0,9,0
47,95,secondhalf,One Contrast Privileged,1,9,0
47,95,secondhalf,Two Contrasts Shared,1,17,0
48,96,firsthalf,No Contrast,0,7,0
48,96,firsthalf,One Contrast Privileged,0.8571428571428571,7,0
48,96,firsthalf,Two Contrasts Shared,0.9333333333333333,15,0
48,96,secondhalf,No Contrast,0.1111111111111111,9,0
48,96,secondhalf,One Contrast Privileged,0.8888888888888888,9,0
48,96,secondhalf,Two Contrasts Shared,0.7058823529411765,17,0
48,97,firsthalf,No Contrast,0.14285714285714285,7,0
48,97,firsthalf,One Contrast Privileged,1,7,0
48,97,firsthalf,Two Contrasts Shared,1,15,0
48,97,secondhalf,No Contrast,0.1111111111111111,9,0
48,97,secondhalf,One Contrast Privileged,1,9,0
48,97,secondhalf,Two Contrasts Shared,1,17,0
49,98,firsthalf,No Contrast,0.2857142857142857,7,0
49,98,firsthalf,One Contrast Privileged,1,7,0
49,98,firsthalf,Two Contrasts Shared,1,15,0
49,98,secondhalf,No Contrast,0.7777777777777778,9,0
49,98,secondhalf,One Contrast Privileged,1,9,0
49,98,secondhalf,Two Contrasts Shared,1,17,0
49,99,firsthalf,No Contrast,0.42857142857142855,7,0
49,99,firsthalf,One Contrast Privileged,0.5714285714285714,7,0
49,99,firsthalf,Two Contrasts Shared,1,15,0
49,99,secondhalf,No Contrast,0.7777777777777778,9,0
49,99,secondhalf,One Contrast Privileged,0.2222222222222222,9,0
49,99,secondhalf,Two Contrasts Shared,1,17,0
50,100,firsthalf,No Contrast,0,7,0
50,100,firsthalf,One Contrast Privileged,1,7,0
50,100,firsthalf,Two Contrasts Shared,0.9333333333333333,15,0
50,100,secondhalf,No Contrast,0,9,0
50,100,secondhalf,One Contrast Privileged,1,9,0
50,100,secondhalf,Two Contrasts Shared,1,17,0
50,101,firsthalf,No Contrast,0,7,0
50,101,firsthalf,One Contrast Privileged,0.42857142857142855,7,0
50,101,firsthalf,Two Contrasts Shared,1,15,0
50,101,secondhalf,No Contrast,0,9,0
50,101,secondhalf,One Contrast Privileged,0.1111111111111111,9,0
50,101,secondhalf,Two Contrasts Shared,1,17,0
51,102,firsthalf,No Contrast,0.14285714285714285,7,0
51,102,firsthalf,One Contrast Privileged,0.8571428571428571,7,0
51,102,firsthalf,Two Contrasts Shared,1,15,0
51,102,secondhalf,No Contrast,0.1111111111111111,9,0
51,102,secondhalf,One Contrast Privileged,1,9,0
51,102,secondhalf,Two Contrasts Shared,1,17,0
51,103,firsthalf,No Contrast,0,7,0
51,103,firsthalf,One Contrast Privileged,0.8333333333333334,7,1
51,103,firsthalf,Two Contrasts Shared,0.9333333333333333,15,0
51,103,secondhalf,No Contrast,0,9,0
51,103,secondhalf,One Contrast Privileged,0.5,9,1
51,103,secondhalf,Two Contrasts Shared,0.875,17,1
52,104,firsthalf,No Contrast,0,7,0
52,104,firsthalf,One Contrast Privileged,0.8571428571428571,7,0
52,104,firsthalf,Two Contrasts Shared,0.8666666666666667,15,0
52,104,secondhalf,No Contrast,0,9,0
52,104,secondhalf,One Contrast Privileged,1,9,0
52,104,secondhalf,Two Contrasts Shared,0.8823529411764706,17,0
52,105,firsthalf,No Contrast,0,7,0
52,105,firsthalf,One Contrast Privileged,0.2857142857142857,7,0
52,105,firsthalf,Two Contrasts Shared,1,15,0
52,105,secondhalf,No Contrast,0,9,0
52,105,secondhalf,One Contrast Privileged,0,9,0
52,105,secondhalf,Two Contrasts Shared,1,17,0
